Created,Opponent,Date,Time,Wind speed (km/h),Our score,Opponent's score,Result,Won points started on offense (holds),Won points started on defense (breaks),Possessions total,Offense possessions,Defense possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Stall outs for,Stall outs against
2025-09-11 23:22:47,Parlay,2025-09-06,12:00,0,8,12,Loss,8,0,18,14,4,102,10,6,6,2,6,0,0
2025-09-15 09:26:21,IPA,2025-09-06,11:00,0,9,6,Win,5,4,20,9,11,124,11,10,1,4,10,0,0
2025-09-16 15:33:23,Babymaker,2025-09-06,16:30,0,15,6,Win,7,8,24,8,16,142,9,8,1,4,13,0,0
2025-07-20 11:23:08,California Burrito,2025-07-12,10:00,0,5,14,Loss,5,0,21,19,2,117,16,14,3,2,6,0,0
2025-08-27 15:35:49,Bird,2025-08-17,15:00,0,9,12,Loss,7,2,32,24,8,160,23,21,3,11,9,0,0
2025-07-22 15:46:55,Brunch Club,2025-07-13,07:00,0,6,8,Loss,6,0,17,12,5,136,11,11,0,7,3,0,0
2025-09-15 17:52:43,Parlay,2025-09-07,13:00,0,4,13,Loss,3,1,34,28,6,165,29,22,7,8,13,1,1
2025-08-27 10:43:48,Steamboat,2025-08-17,13:00,0,5,13,Loss,5,0,22,20,2,105,17,15,2,6,4,0,0
2025-07-19 18:07:31,Anthem,2025-07-12,08:00,0,5,12,Loss,5,0,22,17,5,112,16,15,1,5,5,0,1
2025-08-25 12:30:57,Fatal Attraction,2025-08-16,14:30,0,5,5,Draw,5,0,13,11,2,78,8,5,3,3,4,0,0
2025-07-24 11:35:32,Flytrap,2025-07-13,12:00,0,6,9,Loss,5,1,18,14,4,95,12,10,2,5,5,0,0
2025-07-24 09:36:51,Storm,2025-07-13,09:00,0,9,7,Win,7,2,20,12,8,120,11,10,1,4,8,0,0
2025-07-24 10:31:34,Revival,2025-07-13,11:00,0,4,6,Loss,4,0,16,13,3,59,12,12,0,4,6,0,0
2025-09-15 16:39:08,Prion,2025-09-07,09:00,0,14,10,Win,11,3,30,14,16,179,16,13,3,6,12,1,0
2025-09-15 11:34:40,Stackcats,2025-09-06,13:00,0,11,8,Win,6,5,21,11,10,99,10,10,0,7,6,0,0
2025-08-25 11:38:26,Chad Larson Experience,2025-08-16,12:00,0,7,5,Win,5,2,11,5,6,44,4,4,1,2,4,0,0
2025-08-25 13:32:21,ZTL,2025-08-17,09:30,0,8,12,Loss,8,0,21,19,2,107,13,12,1,4,6,0,0
